date,close
2026-03-02,339.1199951171875
2026-03-03,335.7300109863281
2026-03-04,338.19000244140625
2026-03-05,336.0
2026-03-06,331.4100036621094
2026-03-09,334.2799987792969
2026-03-10,333.510009765625
2026-03-11,333.239990234375
2026-03-12,327.9200134277344
2026-03-13,326.1300048828125
2026-03-16,329.4599914550781
2026-03-17,330.57000732421875
2026-03-18,326.0199890136719
2026-03-19,325.44000244140625
2026-03-20,320.3399963378906
2026-03-23,324.19000244140625
2026-03-24,323.17999267578125
2026-03-25,325.1499938964844
2026-03-26,319.54998779296875
2026-03-27,313.0899963378906
2026-03-30,311.67999267578125
2026-03-31,320.80999755859375
2026-04-01,323.239990234375
2026-04-02,323.760009765625
2026-04-06,325.2099914550781
2026-04-07,325.42999267578125
2026-04-08,333.70001220703125
2026-04-09,335.45001220703125
2026-04-10,335.04998779296875
2026-04-13,338.6700134277344
2026-04-14,342.6499938964844
2026-04-15,345.239990234375
2026-04-16,346.0299987792969
2026-04-17,350.5299987792969
2026-04-20,350.2099914550781
2026-04-21,347.8399963378906
2026-04-22,351.2200012207031
2026-04-23,349.79998779296875
2026-04-24,352.04998779296875
2026-04-27,352.5299987792969
2026-04-28,350.6300048828125
2026-04-29,350.2099914550781
2026-04-30,354.17999267578125
2026-05-01,355.2900085449219
2026-05-04,353.9800109863281
2026-05-05,356.989990234375
2026-05-06,361.8599853515625
2026-05-07,360.20001220703125
2026-05-08,362.8699951171875
2026-05-11,363.6300048828125
2026-05-12,362.7900085449219
2026-05-13,364.7099914550781
2026-05-14,367.3999938964844
2026-05-15,362.739990234375
2026-05-18,362.3599853515625
2026-05-19,360.05999755859375
2026-05-20,364.19000244140625
2026-05-21,365.0899963378906
2026-05-22,366.7900085449219
2026-05-26,369.4599914550781
2026-05-27,369.3599853515625
2026-05-28,371.6600036621094
2026-05-29,372.5400085449219
2026-06-01,373.3999938964844
2026-06-02,374.3599853515625
2026-06-03,371.6499938964844
2026-06-04,373.3800048828125
2026-06-05,363.3800048828125
2026-06-08,364.4700012207031
2026-06-09,363.6700134277344
2026-06-10,358.0400085449219
2026-06-11,364.29998779296875
2026-06-12,366.3599853515625
2026-06-15,372.5299987792969
2026-06-16,370.3699951171875
2026-06-17,365.760009765625
2026-06-18,369.989990234375
2026-06-22,368.80999755859375
2026-06-23,363.70001220703125
2026-06-24,363.6499938964844
2026-06-25,363.9800109863281
2026-06-26,362.2200012207031
2026-06-29,367.1199951171875
2026-06-30,370.0400085449219
2026-07-01,369.2699890136719
2026-07-02,368.760009765625
2026-07-06,371.6700134277344
2026-07-07,369.6099853515625
2026-07-08,368.25
2026-07-09,371.45001220703125
2026-07-10,372.69000244140625
2026-07-13,369.7799987792969
2026-07-14,371.1600036621094
2026-07-15,372.4200134277344
2026-07-16,370.5799865722656
2026-07-17,367.010009765625
2026-07-20,366.25
2026-07-21,369.45001220703125
2026-07-22,368.8699951171875
2026-07-23,364.69000244140625
2026-07-24,364.79998779296875
2026-07-27,365.17999267578125
2026-07-28,365.989990234375
2026-07-29,360.4200134277344
2026-07-30,366.2699890136719
2026-07-31,368.2099914550781
2026-08-03,373.8399963378906
2026-08-04,380.82000732421875
2026-08-05,379.6499938964844
2026-08-06,379.07000732421875
2026-08-07,381.7799987792969
2026-08-10,381.6300048828125
2026-08-11,380.6499938964844
2026-08-12,381.8299865722656
2026-08-13,384.29998779296875
2026-08-14,383.8500061035156
2026-08-17,382.1300048828125
2026-08-18,379.0400085449219
2026-08-19,379.989990234375
2026-08-20,376.5799865722656
2026-08-21,378.239990234375
2026-08-24,377.07000732421875
2026-08-25,378.1499938964844
2026-08-26,378.2300109863281
2026-08-27,380.6300048828125
