date,ticker,abs_drift,abs_drift_rel,drift_chg_1,drift_chg_5,drift_slope_21,ret_1,vol_21,eq_bond_spread_21,ticker_VTI,ticker_VXUS,ticker_BND,y_absdrift_fwd_21
2025-09-30,BND,0.20064501431406728,2.0064501431406727,-0.03572461057779197,-0.014572099434759234,-2.9371967527947804,-0.00040320939088211993,4.0463568609791265,27.229206549942433,0,0,1,0.3971814215361316
2025-10-01,BND,0.2473079874071818,2.473079874071818,-0.04666297309311451,-0.08235175392406202,-2.9641957713908105,-0.0006723551151154306,3.4858379897374947,35.44659166037043,0,0,1,0.33139740962401104
2025-10-02,BND,0.251933284574736,2.51933284574736,-0.004625297167554221,-0.12629860068215093,-2.9295553660256575,0.0010764509066629735,3.3541509103900107,35.76259352132692,0,0,1,0.35007753261715735
2025-10-03,BND,0.28748012414209906,2.8748012414209905,-0.03554683956736304,-0.11418106014953466,-3.036024883788223,-0.001209730718269575,3.175336382864674,36.464661526733586,0,0,1,0.40333371501077436
2025-10-06,BND,0.33561784050177984,3.3561784050177983,-0.04813771635968078,-0.17069743676550453,-3.0904120297612243,-0.0022876890664849103,2.8404945857312422,47.593228966457666,0,0,1,0.28920944337601784
2025-10-07,BND,0.26825154521445543,2.6825154521445542,0.06736629528732441,-0.06760653090038815,-2.878659607921825,0.0018883111788638995,2.676444593103898,35.86511199934615,0,0,1,0.3584648693694861
2025-10-08,BND,0.3183191716097683,3.1831917160976833,-0.05006762639531287,-0.07101118420258651,-2.818678969105782,0.0,2.601231601833072,39.96170601000792,0,0,1,0.24602843700044785
2025-10-09,BND,0.2783741076514121,2.783741076514121,0.03994506395835623,-0.026440823076676057,-2.55067068015968,-0.0006730670864956156,2.5236744484110325,33.843628675202545,0,0,1,0.2690942402444024
2025-10-10,BND,0.013553853761333334,0.13553853761333334,0.26482025389007874,0.2739262703807657,-1.5871604291509096,0.003906685612533156,2.7871690489521197,-10.893228016313564,0,0,1,0.3922893002636374
2025-10-13,BND,0.13849616458734698,1.38496164587347,-0.12494231082601365,0.19712167591443286,-1.0315825408348454,0.0016103428876521608,2.8154483623778592,7.044612512607838,0,0,1,0.39731812531934585
2025-10-14,BND,0.12398708638898387,1.2398708638898386,0.014509078198363112,0.14426445882547156,-0.5399679223719572,0.0014737488109735075,2.7856810699020995,0.32187979242608017,0,0,1,0.41398856825564934
2025-10-15,BND,0.18366865774620406,1.8366865774620407,-0.05968157135722019,0.13465051386356425,-0.2196801555722532,-0.0006689371472616834,2.7956625204051924,9.327089527968766,0,0,1,0.3041163598069038
2025-10-16,BND,0.1166333847654008,1.1663338476540082,0.06703527298080325,0.16174072288601127,0.3103737645590354,0.003748412585417027,3.0065822451464896,-0.8474863881198686,0,0,1,0.31385127197403884
2025-10-17,BND,0.15413646675351278,1.5413646675351278,-0.037503081988111975,-0.14058261299217945,0.4915303377617287,-0.0013337703259301836,2.891517220433951,-4.185162238723274,0,0,1,0.2112282626068704
2025-10-20,BND,0.23654992366507754,2.365499236650775,-0.08241345691156476,-0.09805375907773056,0.41331484660637674,0.001335551645083255,2.913346305052235,7.854999259685467,0,0,1,0.1378459982627936
2025-10-21,BND,0.19715477920882324,1.9715477920882325,0.039395144456254305,-0.07316769281983937,0.2836560902858585,0.001200271190469282,2.8094208265998546,-4.93866044785323,0,0,1,0.1530200237810836
2025-10-22,BND,0.16361795517917666,1.6361795517917666,0.033536824029646584,0.0200507025670274,0.4414311296102506,0.0,2.758366318237373,-2.2143004152229038,0,0,1,0.004407612307134878
2025-10-23,BND,0.23598497300551385,2.3598497300551387,-0.0723670178263372,-0.11935158824011305,0.43170713998144306,-0.0019981554081349717,2.75650416542141,10.4844521961426,0,0,1,0.08147204687544846
2025-10-24,BND,0.281238512880351,2.81238512880351,-0.045253539874837156,-0.12710204612683823,0.438617730812046,0.0013347367400569077,2.719645487316773,21.987929129961525,0,0,1,0.16660882113090497
2025-10-27,BND,0.3632579131133226,3.6325791311332263,-0.0820194002329716,-0.12670798944824507,0.057978338571386095,0.0005332033766631827,2.7131020054208363,26.854023038933754,0,0,1,0.2365297888069634
2025-10-28,BND,0.36718313899026106,3.6718313899026107,-0.003925225876938443,-0.17002835978143782,-0.24349113789549579,0.0005329192223344492,2.612267107482681,28.518130931301975,0,0,1,0.2947865868188737
2025-10-29,BND,0.3971814215361316,3.971814215361316,-0.029998282545870558,-0.23356346635695496,-0.7049130720853236,-0.0049266993968715145,3.2013918656864906,27.79271774623541,0,0,1,0.3541557453006411
2025-10-30,BND,0.33139740962401104,3.3139740962401105,0.06578401191212058,-0.09541243661849719,-1.0551505395192142,-0.0017396611397373363,3.2601872074715614,12.42098769460713,0,0,1,0.37627047083342025
2025-10-31,BND,0.35007753261715735,3.5007753261715733,-0.01868012299314631,-0.06883901973680634,-1.455454382558287,-0.0002680515211181955,3.2469034832537433,14.357665887811288,0,0,1,0.3796526480699669
2025-11-03,BND,0.40333371501077436,4.0333371501077435,-0.05325618239361701,-0.040075801897451746,-2.1248278822140096,-0.004424803203977312,3.5857711762560953,16.84236553545899,0,0,1,0.40426735180585927
2025-11-04,BND,0.28920944337601784,2.892094433760178,0.11412427163475652,0.07797369561424322,-2.557028734801943,0.0005387328690551474,3.494657642150257,-5.376544625936401,0,0,1,0.4358046186319048
2025-11-05,BND,0.3584648693694861,3.584648693694861,-0.06925542599346829,0.03871655216664549,-2.9885559323689264,-0.002826747636084148,3.5712565190879175,13.355359256452944,0,0,1,0.46003410578863424
2025-11-06,BND,0.24602843700044785,2.4602843700044783,0.11243643236903827,0.08536897262356319,-3.2036905674271585,0.0039146990869238785,3.8362903269670254,-8.880948140742499,0,0,1,0.4498161737622963
2025-11-07,BND,0.2690942402444024,2.6909424024440245,-0.023065803243954575,0.08098329237275492,-3.3743470452649262,-0.0005378635746948746,3.8333177881385154,-0.2770630501431467,0,0,1,0.4459979625490926
2025-11-10,BND,0.3922893002636374,3.922893002636374,-0.12319506001923497,0.011044414747136966,-3.000042648267541,-0.0002691278349004067,3.5701786461085265,52.14753818979552,0,0,1,0.4938057279179245
