,coef,std_err,t,p_value
intercept,0.2818,0.0626,4.5015,0.0
abs_drift,0.4543,0.0771,5.8916,0.0
abs_drift_rel,0.0419,0.0151,2.778,0.0057
drift_chg_1,0.0953,0.1918,0.4969,0.6195
drift_chg_5,-0.033,0.0818,-0.4032,0.687
drift_slope_21,-0.0069,0.0028,-2.439,0.0151
ret_1,-2.807,2.5454,-1.1028,0.2707
vol_21,-0.021,0.0055,-3.8226,0.0001
eq_bond_spread_21,0.0001,0.0005,0.1627,0.8708
ticker_VTI,0.2203,0.0892,2.4692,0.0139
ticker_VXUS,0.5376,0.0891,6.0322,0.0
