date,ticker,close,ret,ret_outlier_iqr,ret_outlier_z
2025-12-01,BND,74.25,-0.007087440330951211,True,False
2026-03-02,BND,74.63999938964844,-0.00705066904625562,True,False
2026-03-20,BND,73.16999816894531,-0.00799896895604002,True,True
2025-10-10,VTI,321.79998779296875,-0.02679494275393035,True,True
2025-11-13,VTI,329.9100036621094,-0.017715661135472738,True,False
2026-01-20,VTI,335.1099853515625,-0.019716310169999418,True,False
2026-02-06,VTI,340.9599914550781,0.02114404818103255,True,False
2026-03-27,VTI,313.0899963378906,-0.020215902681440356,True,False
2026-03-31,VTI,320.80999755859375,0.02929288083085213,True,True
2026-04-08,VTI,333.70001220703125,0.025412591701371667,True,False
2026-06-05,VTI,363.3800048828125,-0.02678236613966123,True,True
2025-10-10,VXUS,72.16999816894531,-0.023145630049323573,True,False
2026-03-03,VXUS,79.55999755859375,-0.034466066925899375,True,True
2026-03-20,VXUS,74.70999908447266,-0.031626732250780165,True,True
2026-03-23,VXUS,76.58000183105469,0.025030153520249288,True,False
2026-03-26,VXUS,75.19999694824219,-0.024390306670375117,True,False
2026-03-31,VXUS,77.11000061035156,0.033230650518615956,True,True
2026-04-08,VXUS,81.2300033569336,0.041143384414032314,True,True
2026-05-06,VXUS,85.62000274658203,0.02649561188637839,True,False
2026-05-15,VXUS,83.11000061035156,-0.022465256505871722,True,False
2026-06-05,VXUS,83.02999877929688,-0.03733334748641304,True,True
2026-06-11,VXUS,85.33999633789062,0.03329701079957981,True,True
2026-06-23,VXUS,84.41000366210938,-0.03043870860093756,True,False
2026-07-30,VXUS,84.7699966430664,0.028886967727262736,True,False
