variant,n_features,train_r2,test_r2,train_rmse,test_rmse,test_mae,overfit_gap,durbin_watson
drift only,5,0.379,0.7502,0.4102,0.2098,0.1743,-0.3712,0.1051
no fund dummies,8,0.3821,0.7337,0.4092,0.2166,0.1802,-0.3515,0.1096
baseline (all 10),10,0.455,0.6977,0.3843,0.2307,0.1879,-0.2427,0.127
+ abs_drift squared,11,0.489,0.6031,0.3721,0.2644,0.2098,-0.1141,0.1462
abs_drift alone,1,0.3596,0.5454,0.4166,0.2829,0.2378,-0.1858,0.1028
+ squared + interaction,12,0.4992,0.4941,0.3684,0.2985,0.2337,0.0051,0.1581
