,n,median,p90,p99,worst
BND,251,0.634,1.48,1.75,1.769
VTI,251,0.343,0.956,1.435,1.553
VXUS,251,0.923,1.534,2.158,2.233
ALL,753,0.552,1.43,1.945,2.233
