feature,pct_missing,n_unique,mean,std,n_pairs,corr_with_target,corr_BND,corr_VTI,corr_VXUS
abs_drift,0.0,748,0.677,0.5317,687,0.6874,0.8635,0.2738,0.6561
abs_drift_rel,0.0,748,3.7307,4.3784,687,0.6183,0.8635,0.2738,0.6561
drift_chg_1,0.4,747,0.0,0.112,684,-0.0097,-0.0353,-0.0565,0.0336
drift_chg_5,2.0,735,-0.0,0.2323,672,-0.0238,-0.0913,-0.1286,0.0809
drift_slope_21,8.0,690,0.0,6.0479,627,-0.1091,-0.2475,-0.3865,0.157
ret_1,0.4,738,0.0005,0.0079,684,-0.0291,-0.0531,-0.0848,0.0013
vol_21,8.4,687,11.2574,6.5627,624,0.0385,0.572,-0.2263,0.246
eq_bond_spread_21,8.4,229,21.9967,36.5292,624,0.0559,0.2713,-0.1739,0.034
ticker_VTI,0.0,2,0.3333,0.4717,687,-0.3583,,,
ticker_VXUS,0.0,2,0.3333,0.4717,687,0.2175,,,
ticker_BND,0.0,2,0.3333,0.4717,687,0.1408,,,
drift_slope_63,24.8,564,0.0,3.5801,501,0.0008,-0.2529,-0.2815,0.418
ticker_target,0.0,3,0.3333,0.2056,687,-0.3112,,,
close_was_filled,0.0,1,0.0,0.0,687,,,,
