,coef,std_err,t,p_value
intercept,0.2817648596307284,0.06259399721909391,4.501467746890875,8.441127022695838e-06
abs_drift,0.4543251314546983,0.07711370439087446,5.891626333392208,7.115656064371478e-09
abs_drift_rel,0.04190557215519054,0.015084595949284749,2.77803742944653,0.005678654739583511
drift_chg_1,0.09531416848886543,0.19183303732610918,0.4968600289992532,0.6195106011411928
drift_chg_5,-0.03297004840224585,0.08177696368365991,-0.4031703662878069,0.6869987551597068
drift_slope_21,-0.006885774955586748,0.002823153745244321,-2.43903647372589,0.015080385144941921
ret_1,-2.8070420286520052,2.5453733033966883,-1.1028017088519517,0.27065461631275767
vol_21,-0.021008579485243886,0.005495839672210213,-3.8226332531995157,0.0001490453708477002
eq_bond_spread_21,8.125934313088363e-05,0.000499520452563845,0.16267470673885503,0.8708416265293533
ticker_VTI,0.22030881777769185,0.08922155346732588,2.469233152932849,0.013880197836614316
ticker_VXUS,0.5376230943907684,0.08912546431223053,6.032205257381097,3.190096631300321e-09
